,Player,tm,pos,yr2019_20,predicted_salary,Age,PER,pts,g,mp,ast,stl,blk
300,Domantas Sabonis,IND,C,"$3,529,555.00","$15,294,763.13",23.0,20.7,1147.0,62.0,2159.0,310.0,47.0,30.0
578,Anžejs Pasečņiks,WAS,C,"$482,144.00","$5,458,339.18",24.0,11.3,156.0,27.0,437.0,18.0,9.0,12.0
385,OG Anunoby,TOR,SF,"$2,281,800.00","$5,377,803.18",22.0,13.2,733.0,69.0,2066.0,108.0,96.0,45.0
522,De'Anthony Melton,MEM,PG,"$1,416,852.00","$1,070,660.59",21.0,13.5,455.0,60.0,1167.0,175.0,77.0,20.0
343,Caris LeVert,BRK,SG,"$2,625,718.00","$12,944,702.24",25.0,16.1,842.0,45.0,1330.0,199.0,53.0,10.0
378,Dejounte Murray,SAS,PG,"$2,321,735.00","$6,622,564.22",23.0,16.2,720.0,66.0,1687.0,271.0,111.0,17.0
560,Naz Reid,MIN,C,"$898,310.00","$4,252,881.24",20.0,15.3,269.0,30.0,495.0,35.0,19.0,22.0
579,Chris Silva,MIA,PF,"$466,918.00","$1,237,339.34",23.0,17.3,133.0,44.0,346.0,23.0,9.0,21.0
253,Buddy Hield,SAC,SG,"$4,861,208.00","$14,808,863.15",27.0,16.0,1382.0,72.0,2216.0,213.0,66.0,17.0
231,Trae Young,ATL,PG,"$6,273,000.00","$21,444,569.61",21.0,23.9,1778.0,60.0,2120.0,560.0,65.0,8.0
576,Chris Clemons,HOU,SG,"$568,422.00","$1,903,753.58",22.0,13.1,161.0,33.0,291.0,27.0,9.0,6.0
265,Collin Sexton,CLE,SG,"$4,764,960.00","$11,053,271.31",21.0,16.3,1349.0,65.0,2143.0,192.0,65.0,7.0
365,Brandon Clarke,MEM,PF,"$2,478,840.00","$8,138,557.47",23.0,20.9,700.0,58.0,1300.0,81.0,32.0,48.0
391,Aaron Holiday,IND,PG,"$2,239,200.00","$3,824,520.45",23.0,11.6,627.0,66.0,1617.0,225.0,55.0,16.0
482,Royce O'Neale,UTA,PF,"$1,618,520.00","$4,720,482.57",26.0,9.5,450.0,71.0,2049.0,180.0,59.0,32.0
397,Austin Rivers,HOU,SG,"$2,174,318.00","$4,435,911.54",27.0,10.4,596.0,68.0,1594.0,113.0,49.0,10.0
399,Anfernee Simons,POR,SG,"$2,149,560.00","$-2,963,048.91",20.0,9.0,579.0,70.0,1449.0,97.0,26.0,10.0
499,Shake Milton,PHI,SG,"$1,445,697.00","$5,548,472.27",23.0,14.4,377.0,40.0,805.0,104.0,20.0,7.0
342,Kevin Huerter,ATL,SG,"$2,636,280.00","$6,540,561.92",21.0,11.5,684.0,56.0,1760.0,213.0,51.0,27.0
491,Chris Boucher,TOR,PF,"$1,588,231.00","$5,854,025.10",27.0,20.7,411.0,62.0,819.0,26.0,22.0,61.0
427,Jordan Poole,GSW,SG,"$1,964,760.00","$-614,430.27",20.0,7.2,503.0,57.0,1274.0,134.0,35.0,10.0
329,Cedi Osman,CLE,SF,"$2,907,143.00","$5,908,030.02",24.0,10.7,718.0,65.0,1910.0,154.0,54.0,16.0
424,Landry Shamet,LAC,SG,"$1,995,120.00","$2,840,095.68",22.0,8.5,492.0,53.0,1452.0,99.0,20.0,10.0
331,Bryn Forbes,SAS,SG,"$2,875,000.00","$5,683,167.25",26.0,11.1,707.0,63.0,1579.0,108.0,33.0,0.0
270,Jamal Murray,DEN,PG,"$4,444,746.00","$12,269,009.97",22.0,17.7,1091.0,59.0,1904.0,284.0,67.0,17.0
551,Daniel Gafford,CHI,C,"$898,310.00","$2,811,012.30",21.0,16.2,220.0,43.0,609.0,21.0,13.0,56.0
461,Georges Niang,UTA,PF,"$1,678,854.00","$-568,947.85",26.0,11.7,392.0,66.0,923.0,44.0,18.0,5.0
509,Isaac Bonga,WAS,SF,"$1,416,852.00","$-3,915,852.16",20.0,10.2,330.0,66.0,1250.0,76.0,45.0,22.0
563,Shaquille Harrison,CHI,SF,"$898,310.00","$5,364,706.13",26.0,17.8,209.0,43.0,484.0,49.0,34.0,19.0
487,Frank Jackson,NOP,PG,"$1,618,520.00","$-3,767,945.81",21.0,9.1,371.0,59.0,797.0,61.0,17.0,4.0
205,Luka Dončić,DAL,PG,"$7,683,360.00","$21,019,490.70",20.0,27.6,1759.0,61.0,2047.0,538.0,62.0,14.0
452,Emmanuel Mudiay,UTA,PG,"$1,737,145.00","$1,570,445.18",23.0,13.0,395.0,54.0,850.0,116.0,24.0,10.0
553,Matt Thomas,TOR,SG,"$898,310.00","$2,650,521.83",25.0,13.3,202.0,41.0,440.0,22.0,10.0,1.0
288,Miles Bridges,CHO,SF,"$3,755,400.00","$6,218,972.55",21.0,12.1,843.0,65.0,1995.0,114.0,40.0,48.0
515,Hamidou Diallo,OKC,SF,"$1,416,852.00","$84,361.74",21.0,9.3,318.0,46.0,896.0,36.0,37.0,9.0
414,Nerlens Noel,OKC,C,"$2,028,594.00","$7,547,461.92",25.0,20.4,449.0,61.0,1127.0,57.0,59.0,91.0
485,Abdel Nader,OKC,SF,"$1,618,520.00","$2,525,665.32",26.0,11.3,345.0,55.0,867.0,38.0,23.0,20.0
362,Josh Okogie,MIN,SG,"$2,530,680.00","$1,614,232.98",21.0,11.5,533.0,62.0,1547.0,99.0,68.0,26.0
382,Isaiah Thomas,WAS,PG,"$2,320,044.00","$11,992,963.83",30.0,11.6,488.0,40.0,925.0,146.0,13.0,6.0
330,Donte DiVincenzo,MIL,SG,"$2,905,800.00","$3,518,872.84",23.0,14.1,610.0,66.0,1520.0,154.0,85.0,20.0
455,Pat Connaughton,MIL,SG,"$1,723,050.00","$2,568,148.18",27.0,11.5,360.0,67.0,1243.0,107.0,25.0,31.0
290,Tyler Herro,MIA,SG,"$3,640,200.00","$4,186,493.82",20.0,12.5,743.0,55.0,1508.0,121.0,34.0,9.0
211,Brandon Ingram,NOP,PF,"$7,265,485.00","$16,194,172.10",22.0,18.8,1477.0,62.0,2104.0,259.0,61.0,38.0
537,Cody Martin,CHO,SF,"$1,173,310.00","$2,153,225.72",24.0,10.5,238.0,48.0,903.0,95.0,39.0,9.0
511,Jevon Carter,PHO,PG,"$1,416,852.00","$214,261.05",24.0,11.3,287.0,58.0,945.0,84.0,47.0,17.0
306,Dario Šarić,PHO,PF,"$3,481,986.00","$5,885,374.64",25.0,14.2,704.0,66.0,1632.0,123.0,37.0,16.0
486,Damyean Dotson,NYK,SG,"$1,618,520.00","$2,888,399.08",25.0,10.9,321.0,48.0,836.0,57.0,23.0,4.0
200,Jayson Tatum,BOS,PF,"$7,830,000.00","$16,121,321.24",21.0,20.4,1547.0,66.0,2265.0,200.0,93.0,57.0
232,Montrezl Harrell,LAC,C,"$6,000,000.00","$16,483,433.54",26.0,23.2,1173.0,63.0,1749.0,107.0,39.0,72.0
438,Omari Spellman,GSW,PF,"$1,897,800.00","$2,545,060.25",22.0,14.4,370.0,49.0,886.0,47.0,33.0,24.0
351,Wesley Matthews,MIL,SG,"$2,564,753.00","$7,944,986.70",33.0,8.1,494.0,67.0,1635.0,92.0,38.0,9.0
403,Moritz Wagner,WAS,C,"$2,063,520.00","$3,779,825.33",22.0,15.1,393.0,45.0,835.0,56.0,28.0,19.0
299,Danuel House,HOU,SF,"$3,540,000.00","$7,924,733.59",26.0,11.3,662.0,63.0,1913.0,85.0,67.0,34.0
484,Wesley Iwundu,ORL,SF,"$1,618,520.00","$2,242,481.83",25.0,10.3,300.0,52.0,953.0,60.0,25.0,13.0
286,P.J. Washington,CHO,PF,"$3,831,840.00","$6,278,567.22",21.0,12.4,710.0,58.0,1759.0,123.0,51.0,44.0
564,Javonte Green,BOS,SF,"$898,310.00","$1,445,531.66",26.0,13.1,163.0,48.0,468.0,26.0,24.0,8.0
223,Jaylen Brown,BOS,SF,"$6,534,829.00","$12,671,594.28",23.0,16.9,1159.0,57.0,1934.0,118.0,65.0,20.0
532,Bruno Fernando,ATL,C,"$1,400,000.00","$-3,029,136.34",21.0,11.9,240.0,56.0,713.0,49.0,18.0,17.0
322,Dwight Howard,LAL,C,"$3,039,097.00","$12,482,112.36",34.0,18.7,517.0,69.0,1306.0,45.0,31.0,79.0
280,Dorian Finney-Smith,DAL,PF,"$4,000,000.00","$7,295,756.40",26.0,12.3,678.0,71.0,2120.0,114.0,45.0,39.0
230,De'Aaron Fox,SAC,PG,"$6,392,760.00","$15,174,085.49",22.0,20.6,1077.0,51.0,1634.0,348.0,74.0,25.0
364,Rondae Hollis-Jefferson,TOR,SF,"$2,500,000.00","$3,712,017.87",25.0,15.1,418.0,60.0,1122.0,106.0,46.0,23.0
488,Sterling Brown,MIL,SF,"$1,618,520.00","$-134,519.60",24.0,9.5,266.0,52.0,767.0,51.0,29.0,7.0
245,Coby White,CHI,SG,"$5,307,120.00","$2,233,607.80",19.0,11.9,859.0,65.0,1674.0,175.0,49.0,6.0
274,Mikal Bridges,PHO,SF,"$4,161,000.00","$4,516,661.31",23.0,12.9,667.0,73.0,2042.0,129.0,102.0,46.0
412,Michael Carter-Williams,ORL,SG,"$2,028,594.00","$8,631,971.21",28.0,15.3,323.0,45.0,833.0,109.0,49.0,22.0
453,Raul Neto,PHI,PG,"$1,737,145.00","$2,602,353.36",27.0,12.7,275.0,54.0,668.0,95.0,24.0,6.0
512,Elie Okobo,PHO,PG,"$1,416,852.00","$-2,384,558.57",22.0,10.6,219.0,55.0,719.0,115.0,24.0,4.0
402,Torrey Craig,DEN,SF,"$2,100,000.00","$5,207,684.43",29.0,10.8,315.0,58.0,1072.0,47.0,23.0,36.0
384,Darius Bazley,OKC,PF,"$2,284,800.00","$-3,334,851.15",19.0,9.6,342.0,61.0,1130.0,41.0,23.0,41.0
196,Lou Williams,LAC,SG,"$8,000,000.00","$20,209,303.57",33.0,17.3,1185.0,65.0,1864.0,365.0,43.0,12.0
451,Mario Hezonja,POR,PF,"$1,737,145.00","$-13,633.37",24.0,9.5,256.0,53.0,871.0,50.0,36.0,9.0
490,Semi Ojeleye,BOS,PF,"$1,618,520.00","$-4,334,669.51",25.0,7.7,236.0,69.0,1011.0,37.0,21.0,5.0
428,Tony Bradley,UTA,C,"$1,962,360.00","$560,342.62",22.0,21.7,285.0,58.0,663.0,23.0,14.0,33.0
267,Rui Hachimura,WAS,PF,"$4,469,160.00","$5,974,405.90",21.0,13.5,649.0,48.0,1444.0,87.0,37.0,8.0
272,Cam Reddish,ATL,SF,"$4,245,720.00","$1,881,835.49",20.0,9.0,610.0,58.0,1551.0,87.0,62.0,28.0
456,Jahlil Okafor,NOP,C,"$1,702,486.00","$7,981,409.36",24.0,18.3,243.0,30.0,467.0,37.0,7.0,22.0
335,Lonnie Walker,SAS,SG,"$2,760,480.00","$-2,563,213.85",21.0,10.5,389.0,61.0,988.0,68.0,32.0,14.0
279,Malik Monk,CHO,SG,"$4,028,400.00","$2,438,356.48",21.0,12.6,564.0,55.0,1169.0,114.0,25.0,16.0
246,Lauri Markkanen,CHI,PF,"$5,300,400.00","$7,790,907.74",22.0,14.3,737.0,50.0,1492.0,74.0,42.0,23.0
489,Dwayne Bacon,CHO,SG,"$1,618,520.00","$1,873,808.63",24.0,6.1,224.0,39.0,687.0,52.0,23.0,2.0
184,Ja Morant,MEM,PG,"$8,730,240.00","$11,660,081.15",20.0,17.4,1193.0,67.0,2074.0,488.0,58.0,18.0
367,Grayson Allen,MEM,SG,"$2,429,400.00","$4,831,138.40",24.0,12.0,330.0,38.0,718.0,52.0,10.0,2.0
263,Garrett Temple,BRK,SG,"$4,767,000.00","$13,069,523.27",33.0,10.5,641.0,62.0,1730.0,156.0,49.0,29.0
534,Alfonzo McKinnie,CLE,SF,"$1,361,046.00","$3,881,574.23",27.0,8.7,182.0,40.0,593.0,14.0,23.0,8.0
354,Rajon Rondo,LAL,PG,"$2,564,753.00","$12,019,973.51",33.0,12.4,342.0,48.0,984.0,240.0,40.0,2.0
383,Damian Jones,ATL,C,"$2,305,057.00","$2,747,838.48",24.0,15.6,306.0,55.0,887.0,35.0,26.0,40.0
303,T.J. McConnell,IND,PG,"$3,500,000.00","$5,444,408.20",27.0,16.5,464.0,71.0,1326.0,355.0,56.0,11.0
462,Cheick Diallo,PHO,C,"$1,678,854.00","$961,996.80",23.0,16.5,219.0,47.0,479.0,22.0,11.0,12.0
206,Joe Harris,BRK,SF,"$7,670,000.00","$11,667,264.37",28.0,13.3,998.0,69.0,2123.0,144.0,41.0,17.0
336,Alex Caruso,LAL,PG,"$2,750,000.00","$921,622.45",25.0,10.8,349.0,64.0,1175.0,124.0,70.0,18.0
457,Rodions Kurucs,BRK,PF,"$1,699,236.00","$-2,025,890.29",21.0,8.9,215.0,47.0,684.0,51.0,25.0,5.0
262,Justin Holiday,IND,SG,"$4,767,000.00","$8,110,296.42",30.0,12.1,603.0,73.0,1826.0,93.0,87.0,46.0
233,Ish Smith,WAS,PG,"$5,853,659.00","$13,388,636.63",31.0,13.9,740.0,68.0,1787.0,334.0,59.0,30.0
377,Patrick Patterson,LAC,PF,"$2,331,593.00","$3,109,192.42",30.0,11.5,292.0,59.0,776.0,41.0,7.0,3.0
278,Cameron Johnson,PHO,PF,"$4,033,440.00","$3,140,093.74",23.0,12.9,504.0,57.0,1255.0,69.0,36.0,20.0
160,Spencer Dinwiddie,BRK,SG,"$10,600,000.00","$17,678,351.85",26.0,17.8,1318.0,64.0,1994.0,432.0,40.0,21.0
562,Caleb Martin,CHO,SF,"$898,310.00","$7,313,658.78",24.0,12.0,111.0,18.0,317.0,23.0,12.0,7.0
210,Derrick Rose,DET,PG,"$7,317,073.00","$18,961,065.26",31.0,21.0,904.0,50.0,1298.0,278.0,40.0,16.0
439,Shabazz Napier,WAS,PG,"$1,882,867.00","$12,401,927.29",28.0,13.8,231.0,20.0,488.0,75.0,29.0,4.0
158,T.J. Warren,IND,SF,"$10,810,000.00","$15,330,544.77",26.0,18.4,1326.0,67.0,2202.0,99.0,78.0,34.0
347,Harry Giles,SAC,PF,"$2,578,800.00","$1,772,578.40",21.0,16.4,316.0,46.0,667.0,60.0,22.0,18.0
222,Nemanja Bjelica,SAC,PF,"$6,825,000.00","$13,557,239.56",31.0,15.7,831.0,72.0,2011.0,203.0,62.0,40.0
250,Daniel Theis,BOS,C,"$5,000,000.00","$10,430,245.13",27.0,17.9,601.0,65.0,1566.0,111.0,37.0,84.0
216,Dāvis Bertāns,WAS,PF,"$7,000,000.00","$12,624,472.50",27.0,15.5,834.0,54.0,1583.0,92.0,37.0,33.0
346,Matisse Thybulle,PHI,SG,"$2,582,160.00","$-1,095,508.47",22.0,10.0,305.0,65.0,1287.0,79.0,94.0,47.0
361,Vince Carter,ATL,SF,"$2,564,753.00","$13,368,345.86",43.0,7.5,298.0,60.0,876.0,48.0,23.0,25.0
287,Luke Kennard,DET,SG,"$3,827,160.00","$10,142,893.72",23.0,14.4,442.0,28.0,922.0,115.0,12.0,6.0
193,Ben Simmons,PHI,PG,"$8,113,930.00","$15,898,167.09",23.0,20.4,937.0,57.0,2017.0,455.0,119.0,33.0
229,Darius Garland,CLE,PG,"$6,400,920.00","$3,812,146.57",20.0,8.5,728.0,59.0,1824.0,229.0,42.0,4.0
470,Willy Hernangómez,CHO,C,"$1,676,735.00","$7,252,276.07",25.0,19.2,190.0,31.0,375.0,29.0,10.0,7.0
256,Richaun Holmes,SAC,C,"$4,767,000.00","$12,761,290.13",26.0,19.7,539.0,44.0,1242.0,42.0,41.0,56.0
309,Kyle Korver,MIL,SF,"$3,440,000.00","$11,782,477.65",38.0,11.3,386.0,58.0,960.0,68.0,26.0,12.0
281,JaVale McGee,LAL,C,"$4,000,000.00","$10,661,769.02",32.0,19.4,446.0,68.0,1130.0,37.0,36.0,94.0
413,Mike Muscala,OKC,C,"$2,028,594.00","$4,367,177.98",28.0,12.5,226.0,47.0,572.0,40.0,9.0,12.0
214,De'Andre Hunter,ATL,SF,"$7,068,360.00","$4,922,026.92",22.0,8.6,778.0,63.0,2018.0,112.0,44.0,18.0
316,Justin Jackson,DAL,PF,"$3,280,920.00","$-1,964,769.70",24.0,9.5,360.0,65.0,1045.0,52.0,15.0,10.0
189,Bogdan Bogdanović,SAC,SG,"$8,529,386.00","$12,214,091.05",27.0,15.1,924.0,61.0,1766.0,207.0,64.0,15.0
207,Seth Curry,DAL,SG,"$7,441,860.00","$10,210,088.17",29.0,15.5,793.0,64.0,1576.0,124.0,38.0,9.0
339,Malik Beasley,MIN,SG,"$2,731,714.00","$10,750,733.62",23.0,16.2,290.0,14.0,463.0,27.0,9.0,2.0
183,Fred VanVleet,TOR,PG,"$9,000,000.00","$15,384,420.88",25.0,16.3,952.0,54.0,1928.0,357.0,100.0,17.0
199,RJ Barrett,NYK,SG,"$7,839,960.00","$4,382,059.62",19.0,10.7,803.0,56.0,1704.0,143.0,55.0,17.0
285,Nicolò Melli,NOP,C,"$3,902,439.00","$5,085,654.61",29.0,11.4,395.0,60.0,1042.0,82.0,34.0,23.0
437,Džanan Musa,BRK,SF,"$1,911,600.00","$-1,826,118.27",20.0,9.4,192.0,40.0,487.0,43.0,15.0,1.0
235,Jarrett Culver,MIN,SG,"$5,813,640.00","$782,190.70",20.0,9.6,580.0,63.0,1506.0,110.0,57.0,38.0
372,Grant Williams,BOS,PF,"$2,379,840.00","$-5,744,448.85",21.0,7.9,237.0,69.0,1043.0,68.0,30.0,36.0
289,Jakob Poeltl,SAS,C,"$3,754,886.00","$5,189,854.75",24.0,19.1,372.0,66.0,1171.0,116.0,37.0,95.0
536,Carsen Edwards,BOS,SG,"$1,228,026.00","$-2,033,651.86",21.0,6.9,121.0,37.0,351.0,24.0,12.0,4.0
264,Enes Kanter,BOS,C,"$4,767,000.00","$8,103,990.93",27.0,22.4,469.0,58.0,983.0,56.0,22.0,41.0
392,Luke Kornet,CHI,C,"$2,195,122.00","$4,870,116.49",24.0,12.7,215.0,36.0,559.0,32.0,11.0,26.0
252,Jaxson Hayes,NOP,C,"$4,862,040.00","$-383,663.04",19.0,17.6,472.0,64.0,1080.0,56.0,26.0,55.0
208,Doug McDermott,IND,PF,"$7,333,334.00","$5,556,299.31",28.0,14.4,710.0,69.0,1372.0,78.0,12.0,5.0
516,Kenrich Williams,NOP,PF,"$1,416,852.00","$3,789,684.58",25.0,7.5,136.0,39.0,832.0,57.0,27.0,21.0
271,Kevin Knox,NYK,SF,"$4,380,120.00","$-3,694,400.14",20.0,8.3,419.0,65.0,1166.0,61.0,23.0,28.0
345,DeAndre' Bembry,ATL,SG,"$2,603,982.00","$4,576,781.40",25.0,9.6,249.0,43.0,915.0,81.0,55.0,19.0
380,Alec Burks,PHI,SG,"$2,320,044.00","$12,559,569.56",28.0,16.1,220.0,18.0,364.0,38.0,12.0,0.0
376,Chandler Hutchison,CHI,SF,"$2,332,320.00","$5,409,245.52",23.0,12.4,218.0,28.0,527.0,26.0,27.0,7.0
209,Langston Galloway,DET,SG,"$7,333,333.00","$7,373,568.11",28.0,12.3,677.0,66.0,1702.0,101.0,48.0,11.0
227,Ivica Zubac,LAC,C,"$6,481,482.00","$3,480,444.81",22.0,21.7,596.0,72.0,1326.0,82.0,16.0,66.0
179,Jerami Grant,DEN,PF,"$9,346,153.00","$8,045,519.32",25.0,14.4,851.0,71.0,1892.0,88.0,50.0,57.0
261,JaMychal Green,LAC,PF,"$4,767,000.00","$5,205,887.78",29.0,11.1,430.0,63.0,1307.0,49.0,29.0,24.0
327,Nickeil Alexander-Walker,NOP,SG,"$2,964,840.00","$-1,518,671.62",21.0,8.9,267.0,47.0,591.0,89.0,17.0,8.0
454,JaKarr Sampson,IND,SF,"$1,737,145.00","$5,512,321.53",26.0,12.6,156.0,34.0,471.0,21.0,16.0,12.0
445,James Ennis,ORL,SF,"$1,882,867.00","$11,379,385.22",29.0,10.3,169.0,20.0,489.0,22.0,12.0,8.0
169,Markelle Fultz,ORL,PG,"$9,745,200.00","$5,824,954.30",21.0,14.3,870.0,72.0,1996.0,369.0,90.0,11.0
366,Terrance Ferguson,OKC,SF,"$2,475,840.00","$-3,314,388.80",21.0,3.7,220.0,56.0,1257.0,51.0,27.0,17.0
259,Avery Bradley,LAL,SG,"$4,767,000.00","$7,505,015.50",29.0,8.9,423.0,49.0,1186.0,63.0,43.0,5.0
242,Aron Baynes,PHO,C,"$5,453,280.00","$14,763,034.14",33.0,15.2,481.0,42.0,934.0,67.0,10.0,23.0
324,Ryan Arcidiacono,CHI,PG,"$3,000,000.00","$-383,901.68",25.0,9.0,261.0,58.0,930.0,96.0,27.0,3.0
358,J.J. Barea,DAL,PG,"$2,564,753.00","$15,549,639.05",35.0,14.6,222.0,29.0,450.0,112.0,5.0,2.0
350,Jeff Green,HOU,C,"$2,564,753.00","$17,704,958.53",33.0,18.6,220.0,18.0,407.0,30.0,14.0,9.0
258,Mike Scott,PHI,PF,"$4,767,000.00","$4,044,570.08",31.0,11.2,408.0,68.0,1207.0,56.0,21.0,5.0
186,Lonzo Ball,NOP,PG,"$8,719,320.00","$9,806,749.71",22.0,13.1,745.0,63.0,2025.0,438.0,88.0,38.0
