,Player,tm,pos,yr2019_20,predicted_salary,Age,PER,pts,g,mp,ast,stl,blk
466,David Nwaba,BRK,SF,"$1,678,854.00","$9,484,255.96",27.0,14.0,104.0,20.0,268.0,8.0,11.0,12.0
134,Marcus Smart,BOS,SG,"$12,553,471.00","$11,352,038.56",25.0,13.8,776.0,60.0,1919.0,291.0,101.0,29.0
4,James Harden,HOU,SG,"$37,800,000.00","$35,256,661.50",30.0,29.1,2335.0,68.0,2483.0,512.0,125.0,60.0
234,Marco Belinelli,SAS,SG,"$5,846,154.00","$7,027,121.48",33.0,10.8,361.0,57.0,883.0,69.0,12.0,1.0
137,Patty Mills,SAS,PG,"$12,428,571.00","$10,243,519.89",31.0,14.8,767.0,66.0,1485.0,118.0,53.0,6.0
333,Goga Bitadze,IND,C,"$2,816,760.00","$-4,110,163.69",20.0,12.1,172.0,54.0,471.0,23.0,10.0,37.0
181,George Hill,MIL,PG,"$9,133,907.00","$12,476,283.05",33.0,16.9,554.0,59.0,1271.0,180.0,47.0,5.0
191,P.J. Tucker,HOU,PF,"$8,349,039.00","$12,066,506.72",34.0,8.3,500.0,72.0,2467.0,115.0,77.0,36.0
38,Anthony Davis,LAL,PF,"$27,093,019.00","$26,822,220.96",26.0,27.4,1618.0,62.0,2131.0,200.0,91.0,143.0
217,Ersan İlyasova,MIL,PF,"$7,000,000.00","$6,952,371.31",32.0,14.9,414.0,63.0,986.0,49.0,24.0,17.0
148,Joe Ingles,UTA,SF,"$11,954,546.00","$13,366,441.27",32.0,12.6,707.0,72.0,2137.0,373.0,65.0,11.0
293,Jake Layman,MIN,PF,"$3,581,986.00","$7,734,706.72",25.0,10.3,210.0,23.0,505.0,15.0,17.0,10.0
283,Reggie Bullock,NYK,SG,"$4,000,000.00","$8,926,634.36",28.0,9.3,234.0,29.0,684.0,42.0,25.0,3.0
97,Eric Bledsoe,MIL,PG,"$15,625,000.00","$16,285,148.08",30.0,17.6,911.0,61.0,1646.0,328.0,57.0,26.0
190,Tyus Jones,MEM,PG,"$8,408,000.00","$2,745,024.33",23.0,15.7,484.0,65.0,1232.0,285.0,59.0,6.0
57,Terry Rozier,CHO,PG,"$19,894,737.00","$13,507,315.00",25.0,14.8,1134.0,63.0,2164.0,259.0,61.0,10.0
25,CJ McCollum,POR,SG,"$27,556,959.00","$21,160,216.58",28.0,17.0,1556.0,70.0,2556.0,310.0,54.0,42.0
197,Elfrid Payton,NYK,PG,"$8,000,000.00","$10,900,821.26",25.0,16.0,449.0,45.0,1246.0,323.0,70.0,17.0
168,Zion Williamson,NOP,PF,"$9,757,440.00","$10,212,259.77",19.0,24.1,540.0,24.0,668.0,50.0,16.0,9.0
295,Jerome Robinson,WAS,SG,"$3,567,720.00","$5,206,246.22",22.0,7.4,197.0,21.0,503.0,41.0,15.0,9.0
161,Jeremy Lamb,IND,SG,"$10,500,000.00","$10,919,814.10",27.0,14.0,577.0,46.0,1291.0,96.0,55.0,22.0
43,Nikola Jokić,DEN,C,"$26,573,595.00","$19,638,003.89",24.0,24.9,1456.0,73.0,2336.0,512.0,85.0,44.0
312,Juan Hernangómez,MIN,PF,"$3,321,030.00","$8,799,937.55",24.0,10.4,181.0,14.0,411.0,18.0,14.0,4.0
24,DeMar DeRozan,SAS,SF,"$27,739,975.00","$23,007,365.25",30.0,21.6,1504.0,68.0,2316.0,380.0,70.0,20.0
187,E'Twaun Moore,NOP,SG,"$8,664,928.00","$6,970,112.17",30.0,11.3,466.0,56.0,1020.0,78.0,32.0,11.0
178,Delon Wright,DAL,SG,"$9,473,684.00","$5,269,531.13",27.0,15.4,504.0,73.0,1570.0,244.0,85.0,22.0
92,Ricky Rubio,PHO,PG,"$16,190,476.00","$16,607,051.66",29.0,16.5,847.0,65.0,2016.0,570.0,94.0,11.0
115,Rudy Gay,SAS,PF,"$14,000,000.00","$12,357,844.05",33.0,15.4,726.0,67.0,1461.0,114.0,35.0,33.0
54,Danilo Gallinari,OKC,PF,"$22,615,559.00","$17,269,076.30",31.0,19.5,1160.0,62.0,1834.0,119.0,42.0,5.0
131,Thaddeus Young,CHI,PF,"$12,900,000.00","$10,664,640.04",31.0,13.3,659.0,64.0,1591.0,117.0,92.0,23.0
411,Kyle O'Quinn,PHI,C,"$2,028,594.00","$10,790,046.86",29.0,18.6,102.0,29.0,313.0,51.0,7.0,24.0
66,Goran Dragić,MIA,PG,"$19,217,900.00","$18,371,814.04",33.0,16.3,953.0,59.0,1663.0,301.0,40.0,10.0
118,Jordan Clarkson,UTA,SG,"$13,437,500.00","$12,166,082.86",27.0,18.6,655.0,42.0,1039.0,66.0,29.0,8.0
13,Kawhi Leonard,LAC,SF,"$32,742,000.00","$24,206,923.73",28.0,26.9,1543.0,57.0,1848.0,280.0,103.0,33.0
166,DeAndre Jordan,BRK,C,"$9,881,598.00","$13,034,904.15",31.0,19.9,465.0,56.0,1234.0,105.0,18.0,52.0
149,Kelly Olynyk,MIA,C,"$11,667,885.00","$5,725,472.82",28.0,14.6,549.0,67.0,1300.0,116.0,45.0,23.0
393,Ty Jerome,PHO,PG,"$2,193,480.00","$716,070.02",22.0,7.9,102.0,31.0,328.0,44.0,15.0,3.0
17,Tobias Harris,PHI,PF,"$31,034,483.00","$17,489,607.22",27.0,17.2,1411.0,72.0,2469.0,227.0,53.0,40.0
5,LeBron James,LAL,PG,"$37,436,858.00","$33,372,300.46",35.0,25.5,1698.0,67.0,2316.0,684.0,78.0,36.0
58,Aaron Gordon,ORL,PF,"$19,863,636.00","$11,512,964.91",24.0,15.1,894.0,62.0,2017.0,228.0,51.0,39.0
328,D.J. Wilson,MIL,PF,"$2,961,120.00","$117,871.36",23.0,8.2,133.0,37.0,363.0,25.0,3.0,5.0
44,Jrue Holiday,NOP,SG,"$26,131,111.00","$20,894,660.36",29.0,17.0,1167.0,61.0,2117.0,408.0,99.0,48.0
56,Malcolm Brogdon,IND,PG,"$20,000,000.00","$15,781,866.59",27.0,17.7,893.0,54.0,1666.0,381.0,35.0,10.0
107,Bobby Portis,NYK,C,"$15,000,000.00","$3,804,815.60",24.0,14.6,668.0,66.0,1393.0,98.0,32.0,18.0
112,Cody Zeller,CHO,C,"$14,471,910.00","$9,525,645.13",27.0,18.8,642.0,58.0,1341.0,88.0,40.0,25.0
298,Allonzo Trier,NYK,PG,"$3,551,100.00","$6,426,820.15",24.0,14.5,155.0,24.0,291.0,28.0,3.0,4.0
22,Nikola Vučević,ORL,C,"$28,000,000.00","$20,153,746.06",29.0,21.9,1215.0,62.0,1998.0,222.0,54.0,47.0
52,Harrison Barnes,SAC,PF,"$24,147,727.00","$11,762,890.25",27.0,13.3,1046.0,72.0,2482.0,159.0,43.0,12.0
182,Kyle Anderson,MEM,PF,"$9,073,050.00","$3,404,753.34",26.0,12.5,390.0,67.0,1330.0,162.0,54.0,37.0
30,Kristaps Porziņģis,DAL,PF,"$27,285,000.00","$17,724,933.46",24.0,20.2,1164.0,57.0,1814.0,102.0,41.0,115.0
26,Joel Embiid,PHI,C,"$27,504,630.00","$19,112,976.30",25.0,25.8,1172.0,51.0,1506.0,152.0,45.0,65.0
282,Patrick McCaw,TOR,SF,"$4,000,000.00","$3,611,382.35",24.0,7.3,170.0,37.0,908.0,79.0,39.0,4.0
18,Khris Middleton,MIL,SF,"$30,603,448.00","$17,942,077.70",28.0,21.1,1297.0,62.0,1853.0,265.0,53.0,7.0
74,Myles Turner,IND,C,"$18,000,000.00","$11,098,589.14",23.0,14.8,749.0,62.0,1826.0,72.0,46.0,132.0
153,Tony Snell,DET,SF,"$11,392,857.00","$7,249,125.62",28.0,9.7,474.0,59.0,1641.0,127.0,32.0,15.0
51,Rudy Gobert,UTA,C,"$25,008,427.00","$19,115,944.67",27.0,21.7,1026.0,68.0,2333.0,101.0,51.0,135.0
2,Russell Westbrook,HOU,PG,"$38,178,000.00","$26,363,889.06",31.0,21.0,1553.0,57.0,2049.0,401.0,93.0,20.0
266,Rodney McGruder,LAC,SG,"$4,629,630.00","$746,331.62",28.0,6.7,187.0,56.0,871.0,36.0,26.0,8.0
237,Rodney Hood,POR,SF,"$5,718,000.00","$10,985,979.04",27.0,12.2,230.0,21.0,619.0,32.0,17.0,4.0
167,Taj Gibson,NYK,C,"$9,800,000.00","$9,619,067.01",34.0,16.1,379.0,62.0,1025.0,52.0,27.0,30.0
45,LaMarcus Aldridge,SAS,C,"$26,000,000.00","$24,241,176.73",34.0,19.7,1001.0,53.0,1754.0,129.0,36.0,87.0
42,Hassan Whiteside,POR,C,"$27,093,018.00","$23,821,209.10",30.0,25.0,1040.0,67.0,2008.0,78.0,26.0,196.0
147,Cory Joseph,SAC,PG,"$12,000,000.00","$5,266,597.96",28.0,10.1,458.0,72.0,1759.0,251.0,53.0,21.0
111,Danny Green,LAL,SG,"$14,634,146.00","$9,193,534.76",32.0,10.8,547.0,68.0,1687.0,91.0,85.0,32.0
113,Eric Gordon,HOU,SF,"$14,057,730.00","$13,651,551.30",31.0,10.3,520.0,36.0,1016.0,54.0,23.0,13.0
72,Tristan Thompson,CLE,C,"$18,539,130.00","$13,239,183.69",28.0,16.8,684.0,57.0,1721.0,120.0,33.0,50.0
162,Dwight Powell,DAL,C,"$10,259,375.00","$11,168,561.24",28.0,15.9,376.0,40.0,1061.0,59.0,34.0,22.0
53,Serge Ibaka,TOR,C,"$23,271,604.00","$15,305,725.66",30.0,17.3,845.0,55.0,1485.0,77.0,28.0,46.0
11,Jimmy Butler,MIA,SF,"$32,742,000.00","$22,554,295.78",30.0,23.6,1157.0,58.0,1959.0,350.0,103.0,32.0
12,Kemba Walker,BOS,PG,"$32,742,000.00","$19,428,761.44",29.0,20.0,1145.0,56.0,1742.0,268.0,48.0,28.0
21,Kevin Love,CLE,PF,"$28,900,000.00","$18,116,648.89",31.0,17.9,987.0,56.0,1780.0,178.0,33.0,19.0
36,Karl-Anthony Towns,MIN,C,"$27,250,000.00","$19,073,269.63",24.0,26.5,926.0,35.0,1187.0,153.0,33.0,42.0
8,Kyle Lowry,TOR,PG,"$33,296,296.00","$24,074,339.31",33.0,17.7,1126.0,58.0,2098.0,433.0,82.0,26.0
88,Clint Capela,HOU,C,"$16,456,522.00","$14,602,140.25",25.0,20.6,543.0,39.0,1279.0,48.0,33.0,72.0
138,Patrick Beverley,LAC,PG,"$12,345,679.00","$11,952,409.38",31.0,12.5,405.0,51.0,1342.0,183.0,54.0,25.0
76,Gary Harris,DEN,SG,"$17,839,286.00","$7,040,427.26",25.0,9.7,581.0,56.0,1780.0,118.0,76.0,14.0
1,Chris Paul,OKC,PG,"$38,506,482.00","$23,495,149.44",34.0,21.7,1232.0,70.0,2208.0,472.0,111.0,11.0
9,Paul George,LAC,SF,"$33,005,556.00","$18,810,624.86",29.0,21.1,1033.0,48.0,1419.0,185.0,68.0,20.0
114,Mason Plumlee,DEN,C,"$14,041,096.00","$8,592,445.77",29.0,18.8,437.0,61.0,1057.0,154.0,33.0,38.0
203,Jae Crowder,MIA,SF,"$7,815,533.00","$14,111,524.57",29.0,16.3,237.0,20.0,553.0,36.0,25.0,10.0
23,Al Horford,PHI,C,"$28,000,000.00","$17,895,525.16",33.0,15.7,798.0,67.0,2025.0,270.0,52.0,61.0
215,Josh Jackson,MEM,SG,"$7,059,480.00","$6,293,477.04",22.0,14.1,198.0,22.0,381.0,35.0,18.0,9.0
14,Gordon Hayward,BOS,SF,"$32,700,690.00","$17,430,788.91",29.0,18.1,909.0,52.0,1740.0,212.0,38.0,22.0
